FID,Slope,Elevat,ShrubCov,x_utm,y_utm
1974,2.2917299,719,0.0954105,256819.200000000011642,3893382.200000000186265
1975,3.2881701,720,0.0679575,256859.200000000011642,3893382.200000000186265
1976,3.1289699,722,0.0731331,256899.200000000011642,3893382.200000000186265
1977,2.8624101,722,0.0229525,256939.200000000011642,3893382.200000000186265
1978,2.7368400,722,0.0733581,256979.200000000011642,3893382.200000000186265
1979,3.5763299,723,0.0506306,257019.200000000011642,3893382.200000000186265
1980,6.7114801,726,0.0279031,257059.200000000011642,3893382.200000000186265
1981,9.7666397,733,0.0537809,257099.200000000011642,3893382.200000000186265
1982,8.5051899,742,0.0256528,257139.200000000011642,3893382.200000000186265
1983,4.9045100,745,0.0789837,257179.200000000011642,3893382.200000000186265
1984,5.5873499,744,0.1390650,257219.200000000011642,3893382.200000000186265
1985,7.2516599,747,0.0522057,257259.200000000011642,3893382.200000000186265
1986,5.5589499,753,0.1107120,257299.200000000011642,3893382.200000000186265
1987,3.6469700,756,0.2815060,257339.200000000011642,3893382.200000000186265
1988,5.1813502,754,0.2506780,257379.200000000011642,3893382.200000000186265
1989,6.2292600,755,0.2457270,257419.200000000011642,3893382.200000000186265
1990,6.3930898,751,0.2189490,257459.200000000011642,3893382.200000000186265
1991,2.9707301,705,0.0666073,256299.200000000011642,3893342.200000000186265
1992,3.9490600,709,0.0891098,256339.200000000011642,3893342.200000000186265
1993,2.6897199,712,0.1251140,256379.200000000011642,3893342.200000000186265
1994,2.0871301,713,0.0688576,256419.200000000011642,3893342.200000000186265
1995,2.0406101,713,0.1383900,256459.200000000011642,3893342.200000000186265
1996,2.1771801,713,0.1930710,256499.200000000011642,3893342.200000000186265
1997,2.9503500,713,0.1507670,256539.200000000011642,3893342.200000000186265
1998,3.5941300,712,0.0267779,256579.200000000011642,3893342.200000000186265
1999,3.7588899,713,0.0702077,256619.200000000011642,3893342.200000000186265
2000,2.8287201,712,0.1323150,256659.200000000011642,3893342.200000000186265
2001,3.6206501,714,0.0771835,256699.200000000011642,3893342.200000000186265
2002,2.6052001,717,0.0690826,256739.200000000011642,3893342.200000000186265
2003,1.0439100,717,0.1176880,256779.200000000011642,3893342.200000000186265
2004,1.6010500,717,0.0918101,256819.200000000011642,3893342.200000000186265
2005,2.7946200,718,0.0409545,256859.200000000011642,3893342.200000000186265
2006,2.8287201,720,0.0504056,256899.200000000011642,3893342.200000000186265
2007,1.6981100,720,0.0560312,256939.200000000011642,3893342.200000000186265
2008,1.2909200,720,0.0454550,256979.200000000011642,3893342.200000000186265
